"annotation_id","annotator","c4_id","cleaning_other","cleaning_quality","comments","content_moderation","created_at","document_type","document_type_other","id","lead_time","metadata","pii_labels","privacy_other","privacy_type","quality_score","readability","readability_other","text","timestamp","topic","topic_other","updated_at","url"
| 400 METER | Melissa Balliet - 2006 | 1:05.10 | Andy Willits- 2009 | :52.50  |
| 800 METER | Stefanie Rowe – 2004 Adrienne Yordy- 2013 | 2:27.18 2:40.82 | J.J. Brooks – 2005 J.J. Brooks – 2004 | 2:05.87 2:09.74  |
| 1600 METER | Stefanie Rowe – 2004 Stefanie Rowe – 2004 | 5:29.30 5:33.88  | J.J. Brooks – 2005 J.J. Brooks - 2004 | 4:35.19 4:54.38  |
| 3200 METER | Stefanie Rowe – 2004 | 12:46.00 | Kurtis Klodnicki - 2012 | 11:00.88 |
| 4X100 RELAY | Madison Burrows, Kennedy Barner, Lizzie Yordy, Paige Friesema - 2012 | :53.76  | A.Troxell, E. Hartle, T. Morton, S. Moore – 2006 Matthew Sweigard, John Bossert, Jose Rivas, Dakota Pickett- 2014 | :47.83  :47.80 |
| 4X200 RELAY | Charity Reddinger, Kyria Johnson, Jill Halama, Karolyn Huber - 2004 | 1:54.88  | Andy Willits, Ryan Torrey, Jason Miller, Charlie Errickson - 2009 | 1:38.38 |
| 4X400 RELAY | Jenna Epler, Charity Reddinger, Elissa Snook, Stef Rowe - 2004 | 4:40.17 | Nathanael Johnson, Jon Pfleegor, Tyson Herrold, JJ Brooks - 2005 | 3:51.92 |
| 4X 800 RELAY | Laura Klodnicki, Paige Friesema, Laura Carpenter, Kendra Rehm—2009 | 11:42.29 | Caleb Clendaniel, Garrett Gessner, David Ulmer, Kurtis Klodnicki- 2013 | 9:22.95 |
| 100 / 110 Hurdles | Shanae Bomberger- 2014 Shanae Bomberger- 2014 | :18.50 :18.99 | Nathanael Johnson - 2004 Dakota Pickett- 2014 | :16.50 :17.69 |
| 300 Hurdles | Shanae Bomberger - 2015 | :52.60 | Dakota Pickett- 2015 | 42.47 |
| SHOT PUT | Ayla Kile - 2006 | 32’ 4” | Dan Gallagher- 2014 | 44’2.75” |
| DISCUS | Erica Anderson – 2009 | 97’4” | David Duncan - 2015 | 123’8” |
| JAVELIN | Madison Burrows- 2013 | 98’3” | Ethan Kuhns – 2008 | 157’6” |
| HIGH JUMP | Hannah Runtas – 2014 Hannah Runtas- 2014 | 5’0  5’4” | Tyler Baughman- 2014 | 6’0” |
| LONG JUMP | Madison Burrows – 2014 Madison Burrow- 2014 ACSI RECORD | 16’5” 15’10.5” | Tyler Morton – 2008 | 20’0.25” |
| TRIPLE JUMP | Madison Burrows – 2012 Madison Burrows – 2012 | 33’7.75”  33’10-.025 | Jason Miller -2009 | 38’10.5” |

JUNIOR HIGH TRACK AND FIELD RECORDS (Program began in 2000)

| EVENT | NAME (YEAR) | TIME / DISTANCE | NAME (YEAR) | TIME/ DISTANCE |
|---|---|---|---|---|
| 100 METER | Madison Burrows – 2010 | :13.47 | Stephen Moore - 2005 TJ Carney – 2001 | :11.83 :11.90  |
| 200 METER | Melissa Balliet – 2005 | 28.09 | Stephen Moore – 2005 Jose Rivas- 2014 | :24.69 :24.70 |
| 400 METER | Katie Benfer – 2013 | 1:05.88 | TJ Carney – 2001 | :58.00 |
| 800 METER | Katie Benfer- 2013 | 2:36.85 | TJ Carney – 2000 | 2:25.90 |
| 1600 METER | Katie Benfer - 2013 Katie Benfer- 2013 | 5:56.06 5:56.26 | David Ulmer - 2013 | 5:14.50 |
| 4X100 RELAY | Rory Tamblin, Olivia Raymond, Delaney Wagner, Jenna Brouse - 2012 | :56.18  | Nate Hoover, Jason Miller, Ryan Torrey, Charlie Errickson – 2007 Matthew Sweigard, Marcus Betzer, Trey Baughman, Jose Rivas- 2013 | :51.30 |
| 4X200 RELAY | Chelsea Shaffer, Hannah Clendaniel, Melissa Balliet, Chrissie Gabel- 2005 Ashleigh Bomberger, Perri Hart, Kyria Johnson, Anna Hart - 2001 | 2:00.02 2:00.15  | Luke Johnson, Dan Shaffer, Andrew Troxell, Stephen Moore – 2005 | 1:48.06 |
| 4X400 RELAY | Jenna Brouse, Shanae Bomberger, Katie Benfer, Delaney Wagner- 2013 | 4:52.82 | David Ulmer, Austin Moscariello, Jacob Crawford, Kyle Shoop-2013 | 4:23.60 |
| 100 Hurdles | Mackenzie Baughman- 2015 | :18.54 | Trey Baughman- 2013 | :17.90 |
| 110 Hurdles |  |  | Trey Baughman- 2014 Trey Baughman- 2014 | :17.10 :17.79 |
| Shot Put – 8lb Shot Put – 6lb | Erica Anderson -2006 Bryndee Nolder – 2005 | 25’5” 31’0.25” | Brandon Stokes- 2013 | 39’2.50” |
| DISCUS | Bryndee Nolder - 2005 | 77’6” | Brandon Stokes- 2013 | 125’4” |
| HIGH JUMP | Sarah Boehnlein--2008 | 4’8” | Jacob Pizzuto- 2010 Marcus Betzer- 2013 | 5’2” |
| LONG JUMP | Madison Burrows – 2010 | 15’2” | Edgar Hartle – 2003 | 17’9” |
| TRIPLE JUMP | Melissa Balliet – 2005 Madison Burrows- 2010 | 30’0” | Mitchell Kile-2011 | 35'7” |

 ACAA LEAGUE RECORD","","TOPIC: Sports","","2026-06-09T14:19:57.767226Z","https://www.mcslions.org/wp-content/uploads/2014/11/Track-Records-2015.pdf"
222,"1","","","CLEANING: Clean","","","2026-06-09T14:21:04.375912Z","","DOC_TYPE: RECORDS",706,65.945,"{""url"":""https:\/\/www.hmt-ffb.de\/wp-content\/uploads\/2017\/11\/Liste2a_Y_Konnektoren_unsteril.pdf"",""id"":""<urn:uuid:38ade921-66e8-4e14-9fe9-8f9f2c36eacc>"",""date"":""2020-09-27T15:36:33+00:00"",""language"":""eng_Latn""}","","","PRIVACY: None","[{""rating"":10}]","READABILITY: Easy","","Y Konnenktoren-unsteril-Verpackungseinheit: 100 Stck.

Y connectors-non sterile-packing units: 100 pieces

| Port 1 | Port 2 | Port 3 | Luer | HMT-Nr. |
|--------|--------|--------|------|---------|
| 3/16""  | 3/16""  | 3/16""  | NO   | H03305  |
| 3/16""  | 3/16""  | 1/4""   | NO   | H03337  |
| 1/4""   | 1/4""   | 1/4""   | NO   | H03302  |
| 1/4""   | 3/8""   | 1/4""   | NO   | H03300  |
| 3/8""   | 3/8""   | 1/4""   | NO   | H03353  |
| 1/4""   | 1/4""   | 3/8""   | NO   | H03306  |
| 1/4""   | 3/8""   | 3/8""   | NO   | H03308  |
| 3/8""   | 3/8""   | 3/8""   | NO   | H03303  |
| 1/4""   | 3/8""   | 1/2""   | NO   | H03333  |
| 1/4""   | 1/2""   | 1/2""   | NO   | H03351  |
| 3/8""   | 3/8""   | 1/2""   | NO   | H03307  |
| 3/8""   | 1/2""   | 1/2""   | NO   | H03309  |
| 1/2""   | 1/2""   | 1/2""   | NO   | H03304  |

Y connectors with luer lock

| Port 1 | Port 2 | Port 3 | Luer | HMT-Nr. |
|--------|--------|--------|------|---------|
| 3/16""  | 3/16""  | 1/4""   | Yes  | H03338  |
| 1/4""   | 1/4""   | 1/4""   | Yes  | H03310  |
| 3/8""   | 3/8""   | 1/4""   | Yes  | H03301  |
| 1/4""   | 1/4""   | 3/8""   | Yes  | H03314  |
| 1/4""   | 3/8""   | 3/8""   | Yes  | H03339  |
| 3/8""   | 3/8""   | 3/8""   | Yes  | H03311  |
| 1/4""   | 1/2""   | 1/2""   | Yes  | H03355  |
| 1/4""   | 3/8""   | 1/2""   | Yes  | H03313  |
| 3/8""   | 3/8""   | 1/2""   | Yes  | H03315  |
| 3/8""   | 1/2""   | 1/2""   | Yes  | H03317  |
| 1/2""   | 1/2""   | 1/2""   | Yes  | H03312  |","","TOPIC: Technology","","2026-06-09T14:21:04.375947Z","https://www.hmt-ffb.de/wp-content/uploads/2017/11/Liste2a_Y_Konnektoren_unsteril.pdf"
223,"1","","","CLEANING: Clean","Document is a bit technical and I can't interpret what is going on","","2026-06-09T14:26:00.723103Z","DOC_TYPE: Article","",707,295.722,"{""url"":""http:\/\/www.unece.org\/fileadmin\/DAM\/trans\/doc\/2017\/wp29grsp\/GRSP-62-34.pdf"",""id"":""<urn:uuid:9630747e-8f81-46b1-a799-449fca6877bb>"",""date"":""2020-10-23T09:18:52+00:00"",""language"":""eng_Latn""}","","","PRIVACY: None","[{""rating"":10}]","READABILITY: Technical","","Informal document GRSP-62-34 (62nd GRSP,12 - 15 December 2017, agenda item 5)

CLEPA statement concerning the description of Crash test dummies and Validation tools in UN Regulations and GTRs.

Clepa is concerned by the lack in the Mutual Resolution M.R.1. of specific descriptions of crash test dummies which are essential for the correct application of UN Regulations and GTRs.

When the mutual resolution M.R.1 was established, the intention was to add in its annexes the full description of the crash test dummies and validation tools used in UN Regulations or GTRs.

So far, only a placeholder for the Biorid crash dummy and some references for the Worldsid dummy have been annexed to the M.R.1.

The description of the Q‐dummies have been published in the informal working group on child restraints, but have not been copied into M.R.1. Changes continue to be introduced to the tools notwithstanding the crash dummies shall be already used for approvals to UNECE R.129.

Modifications of dummies are also ongoing when the dummy has already been published in annexes of M.R.1. like the modifications of the Worldsid dummy as described in Annex 2 of M.R.1. For such changes, the need of transitional provisions shall be considered and the use of the correct build levels of such transitional provisions shall be introduced also in the regulation requesting the use of a dummy.

Clepa recommends to urgently annex the description of all test tools (e.g. the Q‐dummy family) to M.R.1.

Clepa recommends to always establish clear and appropriate transitional provisions when changes to build levels of dummies occur, preferably by adding in the corresponding UN regulations or GTRs that make use of such updated dummy the reference to the built level of the tool.

Clepa would like to recommend that UNECE regulations do not require the use of any new or modified test tool until the appropriate description of the crash test dummy or the necessary tool has been annexed to M.R.1.","","TOPIC: Technology","","2026-06-09T14:26:00.723148Z","http://www.unece.org/fileadmin/DAM/trans/doc/2017/wp29grsp/GRSP-62-34.pdf"
224,"1","","","CLEANING: Clean","Very long documentation about a product","","2026-06-09T14:28:51.236834Z","DOC_TYPE: Documentation","",708,169.564,"{""url"":""http:\/\/globalimageserver.com\/fetchDocument.aspx?id=3a21bb33-0f82-4365-a771-922142a7c259"",""id"":""<urn:uuid:1e2c0543-b8fc-40b3-82f1-7c1f768a012a>"",""date"":""2015-05-27T21:47:40Z"",""language"":""eng_Latn""}","","","PRIVACY: None","[{""rating"":10}]","READABILITY: Technical","","Ruud Ultra Series™ Two-Stage Air Conditioners equipped with the Comfort Control² System™

UASL- JEC Series
Efficiencies up to 18 SEER/14 EER
Nominal Sizes 2 to 5 Ton [7.03 to 17.6 kW]
Cooling Capacities 25.8 to 57.2 [7.56 to 16.76 kW]

Industry’s lowest profile design: 33” maximum height
The Comfort Control² System™ provides over 32+ on-board diagnostics and fault history codes for condensing units with single-phase compressors by detecting system and electrical problems. The integrated diagnostics with Active Protection™ prevents compressor operation when potentially harmful conditions are detected. Sends “Call for Service” alert notification to the thermostat to alert the homeowner of required service.

Serial Communication Enhanced – When installed with a Serial Communicating Air Handler (RHPL/RHPN-HM****JC) and user interface control (UHC-TST501CMMS) Series 500 thermostat this unit offers 4 or 2 wire installation, auto-configuration, and diagnostic messaging with full communicating capability.

Legacy Enabled – Unit can be conventionally wired using 24VAC with non-communicating Ruud Ultra air-handlers or furnaces with non-communicating thermostat.

Features a 10-year conditional unit replacement warranty and 10-year parts warranty when properly installed with a new Ruud air handler or Ruud indoor coil with a Ruud gas furnace. See product warranty card for additional information.

Reliable Two-Stage operation for precise temperature control with On-Demand dehumidification feature. When matched with ECM gas furnace or air-handler, the system adjusts airflow to help control humidity for unsurpassed comfort in the cooling mode.

All controls are accessible by removing one service panel. Removable top grille provides access to the condenser fan motor and condenser coil.

Attractive, louvered wrap-around jacket protects the coil from yard hazards and weather extremes. Top grille is steel reinforced for extra strength. Cabinet is powder painted for all-weather protection.

For quiet operation and improved efficiency, models feature an ECM two-speed condenser fan motor with a 3-blade outdoor fan.

All models meet or exceed a 1000-hour salt spray test per ASTM B117 Standard Practice for Operating Salt Spray Testing Apparatus.

| Section                                      | Page |
|----------------------------------------------|------|
| Model Features                               | 3    |
| Model Number Identification                  | 4    |
| Accessories                                  | 4    |
| Scroll Compressor                            | 4    |
| Performance Data                             | 5-38 |
| Electrical & Physical Data                   | 39   |
| Unit Dimensions                              | 40   |
| Refrigerant Line Size Information            | 41-43|
| Limited Warranty                             | 44   |

The *Comfort Control² System™* Features:

- The Ruud exclusive Dual 7-Segment LED Display easily shows system operating status codes and diagnostic codes.

- A Sealed Switch replaces the standard contactor and features optical control and latching mechanism. The sealed switch prevents infiltration of insects and dust. A minimal switching arc, by the optical control, offers greater reliability. The latching mechanism consumes less power while reducing chatter.

- The Status Indication and System Diagnostics feature thermostat communication capability, built-in diagnostics, current sensing and high & low pressure switch monitoring. The thermostat communication capability alerts the homeowner to any necessary service requirements. Faster, more accurate service is provided by the built-in diagnostics, by providing the HVAC professional with dependable information. In addition, high and low pressure-switch monitoring prevents the system from operating outside of its normal parameters.

- The fault recall feature will allow for the last six fault-codes to be displayed, and will retain these codes even if power failure occurs.

- Built-in short-cycle protection allows the compressor to restart easily without oil removal.

- A 30-second minimum run-time for every compressor call allows the oil to return to the compressor.

- Active Protection monitors the system to prevent nuisance lockouts and prevents compressor operation when potentially harmful conditions are detected.

- The compressor and fan are controlled independently, which reduces the starting load and light dimming.

- A manual push-button is offered to operate the compressor and fan for 5 seconds to allow for an operation check.

- In order to save time and money, replacement automotive fuses can be utilized instead of replacing the entire control board.

**Standard Features:**

UASL- JEC Condensing Units

1. Scroll compressor is hermetically sealed and incorporates internal high temperature motor overload protection, and durable insulation on the motor windings. It is externally mounted on rubber grommets to reduce vibration and noise.

2. Compressors have an internal pressure relief assembly to protect against excessive pressure differential.

3. All refrigerant connections are on the exterior of the unit, located close to the ground for neat appearing installations.

4. Cabinet is constructed of powder painted galvanized steel. The full wrap-around louvered grille protects the coil from damage.

5. Sound Blanket-enhanced compressor sound blanket is standard.

6. Copper tube—aluminum fin coils are used on all models.

7. The control box is located in the top corner of the cabinet providing for easy access through a service panel.

8. Service valves are standard on all models.

9. Field connections for power and control wiring are kept separate.

10. Every unit is factory charged and run-tested.

11. Separate compressor compartment for easy service access.

12. Drawn, painted base pan for extra corrosion resistance and sound reduction.

13. The UASL- JEC has a 10-year limited parts warranty, plus a 10-year conditional unit replacement warranty. Refer to the General Terms of Limited Warranty for more details.

14. Hard Start Kits—Standard on all JEC models.

15. Control Box Cover.

16. The UASL- JEC is shipped with a liquid line filter drier, and also features factory-installed low and high pressure controls.

**Scroll® Compressor**

024 & 036 nominal capacities
- Single scroll Ultra-Tech two-stage compressor
- Operates at 67% capacity in non peak conditions to improve efficiency and comfort (humidity control)

039, 048 & 60 nominal capacities
- Dual Drive scroll compressors – Tandem
- Operates at 50% capacity on first compressor in non peak conditions to improve efficiency and comfort (humidity control)
- Compressor “A” operated by control board “A” Compressor “B” operated by control board “B”.

Model Number Identification

| U | A | S | L | 024 | J | EC |
|---|---|---|---|-----|---|----|
| RUUD | REMOTE CONDENSING UNIT | 18-SEER | DESIGN SERIES | COOLING CAPACITY | ELECTRICAL DESIGNATION | EC = EQUIPPED WITH THE COMFORT CONTROL™ SYSTEM* |
| L = FIRST DESIGN SERIES | 025 = 24,000 BTU/HR [7.03 kW] | J = 208/230V-1-60 |

Accessories
• Communicating 2 Wire Kit (RXME-A02)

Thermostats

200-Series *
Programmable

300-Series *
Deluxe
Programmable

400-Series *
Special Applications/
Programmable

500-Series *
Communicating/
Programmable

| Brand | Descriptor (3 Characters) | Series (3 Characters) | System (2 Characters) | Type (2 Characters) |
|-------|---------------------------|-----------------------|-----------------------|--------------------|
| UHC   | TST                       | 213                   | UN                    | MS                 |
| UHC=Ruud | TST=Thermostat           | 200=Programmable      | GE=Gas/Electric       | SS=Single-Stage    |
|        |                           | 300=Programmable      | UD=Univolt (AC/HVGE)  | MS=Multi-Stage     |
|        |                           | 400=Special Applications/Programmable | DF=Dual Fuel |                |
|        |                           | 500=Communicating/Programmable | CM=Communicating |                |

* Photos are representative. Actual models may vary.

For detailed thermostat match-up information, see specification sheet form number T22-001.

Scroll® Compressor

The reliable scroll compressor is the key to efficiency for this Ruud model. It’s the latest in high-efficiency compressor technology. The advanced scroll compressor offers low noise and vibration characteristics and features tolerance to liquid refrigerant and system contamination. The scroll compressor also has low start torque, reducing start problems in the field. And its unique design enables air conditioners to perform efficiently and quietly.

| Outdoor Unit UASL- | Model Numbers | Stage | Net Sensible BTU/H [kW] | Net Latent BTU/H [kW] | Total Capacity BTU/H [kW] | SEER | EER | Indoor Airflow CFM [L/s] | Sound Rating dB |
|-------------------|---------------|-------|------------------------|----------------------|---------------------------|------|-----|--------------------------|----------------|
| Rev. 5/8/2012     | RCSN-H*2421   | 1     | 14500 [4.2]            | 6100 [1.8]           | 25800 [7.6]               | 18   | 14 | 575 [271]                | 71              |
|                   |               | 2     | 19300 [5.7]            | 6500 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   |               | 1 - dehumid | 12100 [3.5]          | 5200 [1.5]           |                           |      |    | 475 [224]                |                 |
|                   |               | 2 - dehumid | 17300 [5.1]          | 7300 [2.1]           |                           |      |    | 675 [319]                |                 |
|                   | RHPN-HM2421   | 1     | 13800 [4.0]            | 6200 [1.8]           | 24600 [7.2]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGFE-06?MCK?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24600 [7.2]               | 17   | 13 | 600 [283]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   | RGFE-07?MCK?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24600 [7.2]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RFGF-06?MCK?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24600 [7.2]               | 17   | 13 | 600 [283]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 850 [401]                | 74              |
|                   | RGGF-07?MCK?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24800 [7.3]               | 17   | 13 | 625 [295]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   | RGGE-06?MCK?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24800 [7.3]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGGE-07?MCK?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24800 [7.3]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGJF-06?MCK?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24800 [7.3]               | 17   | 13 | 625 [295]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   | RGJF-07?MCK?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24800 [7.3]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGLE-07?AMK?  | 1     | 14300 [4.2]            | 6100 [1.8]           | 24800 [7.3]               | 17.5 | 13 | 600 [283]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGPE-05?BMK?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24800 [7.3]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGPE-07?AMK?  | 1     | 14300 [4.2]            | 6100 [1.8]           | 24800 [7.3]               | 17.5 | 13 | 625 [295]                | 71              |
|                   |               | 2     | 18400 [5.4]            | 6400 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   | RGRM-04?MAE?  | 1     | 13800 [4.0]            | 6200 [1.8]           | 24600 [7.2]               | 17   | 13 | 575 [271]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 800 [378]                | 74              |
|                   | RGRM-06?MAE?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24600 [7.2]               | 17   | 13 | 600 [283]                | 71              |
|                   |               | 2     | 18200 [5.3]            | 6400 [1.9]           |                           |      |    | 825 [389]                | 74              |
|                   | RGRM-07?MAE?  | 1     | 14100 [4.1]            | 6100 [1.8]           | 24400 [7.1]               | 16.5 | 13 | 625 [295]                | 71              |
|                   |               | 2     | 18000 [5.3]            | 6400 [1.9]           |                           |      |    | 850 [401]                | 74              |
